"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node10",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/umem1024/180ms/7vms-r1.src.dstat.csv",,,,"Date:","17 Jun 2014 16:49:06 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.095,0.056,99.824,0.024,0.000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,11062198272.0,115507200.0,12124639232.0,2021076992.0,301.008,2666.624
18.040,0.562,81.398,0.0,0.0,0.0,500.0,0.0,119076.0,63381.0,120028.0,65159.0,11066511360.0,115507200.0,12125020160.0,2016382976.0,0.0,0.0
1.128,1.504,96.992,0.376,0.0,0.0,606.0,106.0,5942.0,6272.0,33815.0,123204.0,11076689920.0,115515392.0,12125024256.0,2006192128.0,0.0,159744.0
0.376,0.125,99.436,0.063,0.0,0.0,192.0,0.0,38615.0,182805.0,147687.0,469286.0,11077644288.0,115515392.0,12125048832.0,2005213184.0,0.0,0.0
1.004,0.878,97.867,0.251,0.0,0.0,506.0,106.0,130620.0,548524.0,186174.0,1423319.0,11080822784.0,115519488.0,12125130752.0,2001948672.0,0.0,81920.0
1.381,1.569,96.359,0.691,0.0,0.0,384.0,0.0,49363.0,1263043.0,78938.0,2791802.0,11081322496.0,115539968.0,12125118464.0,2001440768.0,0.0,225280.0
0.438,0.563,98.748,0.188,0.0,0.063,752.0,0.0,89114.0,1834147.0,172567.0,4015683.0,11083657216.0,115552256.0,12125360128.0,1998852096.0,0.0,81920.0
1.382,1.947,96.043,0.628,0.0,0.0,426.0,106.0,37564.0,3025491.0,74448.0,6772848.0,11083599872.0,115580928.0,12125351936.0,1998888960.0,0.0,225280.0
0.250,0.438,99.061,0.250,0.0,0.0,670.0,106.0,167635.0,4344356.0,321177.0,9233106.0,11085291520.0,115589120.0,12125556736.0,1996984320.0,0.0,77824.0
1.573,2.077,95.469,0.881,0.0,0.0,820.0,0.0,48175.0,6662744.0,101835.0,14604830.0,11086585856.0,115630080.0,12125544448.0,1995661312.0,0.0,266240.0
0.125,0.125,99.749,0.0,0.0,0.0,448.0,0.0,54553.0,9709510.0,92683.0,21716033.0,11089469440.0,115630080.0,12125593600.0,1992728576.0,0.0,0.0
1.762,2.391,94.777,1.007,0.0,0.063,567.0,0.0,82095.0,16474254.0,177466.0,37177330.0,11096145920.0,115638272.0,12125605888.0,1986031616.0,0.0,307200.0
0.125,0.376,99.373,0.063,0.0,0.063,532.0,212.0,123482.0,25028537.0,426565.0,54507295.0,11100114944.0,115638272.0,12125646848.0,1982021632.0,0.0,0.0
1.764,2.331,95.022,0.819,0.0,0.063,567.0,0.0,391856.0,38948207.0,576507.0,85405841.0,11106869248.0,115695616.0,12125818880.0,1975037952.0,0.0,266240.0
0.378,0.818,98.490,0.252,0.0,0.063,320.0,0.0,264633.0,56009618.0,477266.0,118791177.0,11104047104.0,115712000.0,12125904896.0,1977757696.0,0.0,77824.0
1.710,2.280,95.123,0.823,0.0,0.063,542.0,106.0,321774.0,76256638.0,619091.0,152274649.0,11106983936.0,115736576.0,12125892608.0,1974808576.0,0.0,225280.0
1.323,0.945,97.417,0.252,0.0,0.063,770.0,92.0,354053.0,67387184.0,562493.0,126819715.0,11106451456.0,115736576.0,12125941760.0,1975291904.0,0.0,77824.0
1.769,1.895,95.578,0.695,0.0,0.063,682.0,174.0,270581.0,68257008.0,500735.0,136470562.0,11106947072.0,115761152.0,12125925376.0,1974788096.0,0.0,192512.0
1.956,1.325,96.151,0.442,0.0,0.126,448.0,0.0,333348.0,73810388.0,576837.0,146315700.0,11107680256.0,115777536.0,12125982720.0,1973981184.0,0.0,114688.0
1.896,1.643,95.891,0.506,0.0,0.063,320.0,0.0,318348.0,78154189.0,561237.0,154156135.0,11106308096.0,115793920.0,12125970432.0,1975349248.0,0.0,155648.0
1.326,1.894,96.086,0.505,0.0,0.189,682.0,106.0,352098.0,81348872.0,625552.0,160358463.0,11106959360.0,115810304.0,12126015488.0,1974636544.0,0.0,188416.0
0.948,1.327,97.345,0.379,0.0,0.0,512.0,0.0,356637.0,82653574.0,632525.0,159675774.0,11106631680.0,115810304.0,12126031872.0,1974947840.0,0.0,118784.0
1.266,2.215,95.759,0.633,0.0,0.127,606.0,106.0,370721.0,80276741.0,648102.0,157693666.0,11107975168.0,115818496.0,12126040064.0,1973587968.0,0.0,188416.0
0.758,1.137,97.726,0.316,0.0,0.063,308.0,0.0,359912.0,82552029.0,632939.0,162161740.0,11110129664.0,115818496.0,12126068736.0,1971404800.0,0.0,77824.0
1.582,2.468,94.810,1.013,0.0,0.127,490.0,106.0,376434.0,81204186.0,668242.0,159984675.0,11106783232.0,115822592.0,12126089216.0,1974726656.0,0.0,266240.0
0.252,0.568,99.117,0.0,0.0,0.063,634.0,68.0,383673.0,79356660.0,641801.0,149051416.0,11106037760.0,115822592.0,12126109696.0,1975451648.0,0.0,0.0
1.645,2.593,94.687,0.886,0.0,0.190,448.0,0.0,341991.0,73449825.0,625653.0,146154903.0,11108327424.0,115834880.0,12126121984.0,1973137408.0,0.0,266240.0
0.316,0.821,98.737,0.063,0.0,0.063,490.0,106.0,371472.0,77708197.0,633813.0,151105960.0,11107631104.0,115843072.0,12126154752.0,1973792768.0,0.0,40960.0
1.519,2.278,95.316,0.759,0.0,0.127,618.0,106.0,358140.0,76086663.0,651453.0,151175273.0,11109400576.0,115875840.0,12126130176.0,1972015104.0,0.0,225280.0
0.697,1.267,97.720,0.253,0.0,0.063,650.0,0.0,393499.0,81041029.0,669689.0,157256825.0,11106746368.0,115888128.0,12126199808.0,1974587392.0,0.0,90112.0
1.519,1.899,95.759,0.696,0.0,0.127,500.0,0.0,359941.0,77833335.0,650829.0,154435205.0,11106861056.0,115908608.0,12126199808.0,1974452224.0,0.0,184320.0
0.886,1.645,96.774,0.569,0.0,0.127,320.0,0.0,406286.0,83317989.0,695243.0,161635123.0,11108184064.0,115933184.0,12126240768.0,1973063680.0,0.0,151552.0
1.138,1.580,96.587,0.569,0.0,0.126,532.0,212.0,363930.0,79507495.0,659385.0,158023248.0,11109306368.0,115953664.0,12126240768.0,1971920896.0,0.0,155648.0
1.265,1.771,96.268,0.569,0.0,0.127,650.0,0.0,2026698.0,77964386.0,4892300.0,139268247.0,11106906112.0,115978240.0,12128743424.0,1971793920.0,0.0,151552.0
0.820,1.451,97.224,0.379,0.0,0.126,582.0,0.0,1380235.0,59814015.0,1600605.0,118999374.0,11107373056.0,115990528.0,12128907264.0,1971150848.0,0.0,212992.0
1.262,2.145,95.710,0.820,0.0,0.063,602.0,106.0,320975.0,64712848.0,569182.0,128844773.0,11107516416.0,116019200.0,12128915456.0,1970970624.0,0.0,225280.0
0.631,1.199,97.854,0.253,0.0,0.063,834.0,92.0,323532.0,68734004.0,571897.0,135256960.0,11108847616.0,116027392.0,12128964608.0,1969582080.0,0.0,77824.0
1.454,2.212,95.449,0.695,0.0,0.190,670.0,106.0,352612.0,71221074.0,625602.0,140890252.0,11107483648.0,116043776.0,12128964608.0,1970929664.0,0.0,229376.0
0.505,0.821,98.358,0.253,0.0,0.063,384.0,0.0,351807.0,74677085.0,744502.0,146312673.0,11109224448.0,116047872.0,12129054720.0,1969094656.0,0.0,40960.0
1.643,2.465,94.690,0.948,0.0,0.253,384.0,0.0,493116.0,73158740.0,772449.0,144279299.0,11110096896.0,116051968.0,12129214464.0,1968058368.0,0.0,266240.0
0.253,0.569,99.116,0.0,0.0,0.063,554.0,106.0,367175.0,77916768.0,630508.0,152220405.0,11108945920.0,116051968.0,12129243136.0,1969180672.0,0.0,0.0
1.457,2.407,95.123,0.887,0.0,0.127,664.0,0.0,358288.0,75162944.0,644007.0,148314404.0,11109953536.0,116068352.0,12129251328.0,1968148480.0,0.0,262144.0
