"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c11node28",,,,"User:","root"
"Cmdline:","dstat -cnmd -N eth0,eth1,total --noheaders -o /root/miglog/idle/cluster/precopy/speed125/vcpu2/umem1024/180ms/7vms-r1.router.dstat.csv",,,,"Date:","17 Jun 2014 16:49:09 EDT"

"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.858,0.173,98.885,0.082,0.000,0.001,0.0,0.0,0.0,0.0,0.0,0.0,5277376512.0,189841408.0,6468976640.0,13248622592.0,26705.618,114453.207
0.125,0.125,99.750,0.0,0.0,0.0,272.0,0.0,344109.0,261529.0,344381.0,261529.0,5277822976.0,189841408.0,6468980736.0,13248172032.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,384.0,0.0,895633.0,904642.0,896017.0,904642.0,5277958144.0,189841408.0,6468980736.0,13248036864.0,0.0,0.0
0.125,0.063,99.812,0.0,0.0,0.0,624.0,0.0,1580196.0,1429252.0,1580950.0,1429252.0,5277917184.0,189841408.0,6468980736.0,13248077824.0,0.0,4096.0
0.063,0.125,99.624,0.188,0.0,0.0,554.0,106.0,2514737.0,2530384.0,2515291.0,2530490.0,5277761536.0,189841408.0,6468980736.0,13248233472.0,0.0,65536.0
0.125,0.063,99.812,0.0,0.0,0.0,426.0,106.0,4051257.0,3685637.0,4051683.0,3685743.0,5277499392.0,189841408.0,6468980736.0,13248495616.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,808.0,0.0,5419901.0,5652030.0,5420709.0,5652030.0,5277372416.0,189841408.0,6468980736.0,13248622592.0,0.0,0.0
0.063,0.063,99.875,0.0,0.0,0.0,682.0,106.0,9187478.0,8299604.0,9188160.0,8299710.0,5278294016.0,189841408.0,6468980736.0,13247700992.0,0.0,0.0
0.126,0.0,99.812,0.063,0.0,0.0,448.0,0.0,13789774.0,13784531.0,13790352.0,13784531.0,5281849344.0,189841408.0,6468980736.0,13244145664.0,0.0,90112.0
0.063,0.063,99.874,0.0,0.0,0.0,567.0,0.0,23115454.0,21338992.0,23116021.0,21338992.0,5282856960.0,189841408.0,6468980736.0,13243138048.0,0.0,0.0
0.063,0.063,99.684,0.190,0.0,0.0,490.0,174.0,33870322.0,33698008.0,33870812.0,33698182.0,5285904384.0,189841408.0,6468980736.0,13240090624.0,0.0,57344.0
0.127,0.063,99.810,0.0,0.0,0.0,673.0,106.0,51638806.0,49159287.0,51639479.0,49159393.0,5291491328.0,189841408.0,6468980736.0,13234503680.0,0.0,0.0
0.127,0.064,99.809,0.0,0.0,0.0,384.0,0.0,70661754.0,68917048.0,70662138.0,68917048.0,5293346816.0,189841408.0,6468980736.0,13232648192.0,0.0,0.0
0.127,0.0,99.810,0.0,0.0,0.063,616.0,0.0,73401983.0,74574867.0,73402729.0,74574867.0,5290168320.0,189841408.0,6468980736.0,13235826688.0,0.0,20480.0
0.064,0.064,99.873,0.0,0.0,0.0,640.0,0.0,66091562.0,65341695.0,66092202.0,65341695.0,5291565056.0,189841408.0,6468980736.0,13234429952.0,0.0,0.0
0.127,0.064,99.809,0.0,0.0,0.0,674.0,304.0,72669006.0,71607654.0,72669680.0,71607958.0,5291204608.0,189841408.0,6468980736.0,13234790400.0,0.0,0.0
0.127,0.064,99.682,0.127,0.0,0.0,576.0,68.0,77138146.0,77148696.0,77138722.0,77148764.0,5291204608.0,189841408.0,6468980736.0,13234790400.0,0.0,16384.0
0.064,0.064,99.873,0.0,0.0,0.0,320.0,0.0,80636860.0,80281601.0,80637180.0,80281601.0,5292474368.0,189841408.0,6468980736.0,13233520640.0,0.0,4096.0
